fibroblast	endothelial_cell	macrophage	myofibroblast_cell
ENSG00000039319	0.595	0.662	1.506	0.989626556016598
ENSG00000164754	1.248	1.719	1.969	1.00829875518672
ENSG00000100554	0.557	0.415	0.979	0.352697095435685
ENSG00000141867	1.391	1.338	1.589	1.19917012448133
ENSG00000184384	0.837	0.316	0.603	0.597510373443983
ENSG00000166974	0.264	0.377	0.651	1.35892116182573
ENSG00000114120	0.987	0.611	0.677	0.612033195020747
ENSG00000135272	0.441	0.55	1.168	0.147302904564315
ENSG00000170430	0.921	0.635	0.539	0.721991701244813
ENSG00000065029	0.175	0.103	0.142	0.0809128630705394
ENSG00000224078	0.553	0.442	0.253	0.556016597510373
ENSG00000196781	0.574	0.798	0.166	0.728215767634855
ENSG00000108175	0.76	0.827	0.809	0.294605809128631
ENSG00000156650	0.643	0.475	0.458	0.618257261410788
ENSG00000139668	0.52	0.149	0.918	0.29045643153527
ENSG00000179021	0.202	0.147	0.29	0.105809128630705
ENSG00000116690	1.876	0.089	0.148	0.0560165975103734
ENSG00000100376	0.185	0.123	0.228	0.114107883817427
ENSG00000225484	0.512	0.616	0.482	0.531120331950207
ENSG00000260711	0.271	0.06	0.018	0.00622406639004149
ENSG00000071575	0.039	0.811	0.045	0.25103734439834
ENSG00000047365	0.023	0.253	0.394	0.0103734439834025
ENSG00000177374	1.648	0.306	0.227	0.392116182572614
ENSG00000147853	1.387	0.855	0.789	0.823651452282158
ENSG00000253352	0.752	0.857	1.108	0.715767634854772
ENSG00000205138	0.406	0.105	0.116	0.0912863070539419
ENSG00000134970	0.756	0.382	0.786	0.45850622406639
ENSG00000109320	0.728	0.695	3.69	0.325726141078838
ENSG00000131979	0.138	0.274	0.383	0.0601659751037344
ENSG00000112851	0.549	0.855	1.347	0.398340248962656
ENSG00000261609	0.16	0.277	0.194	0.157676348547718
ENSG00000023608	0.236	0.232	0.316	0.176348547717842
ENSG00000183943	0.046	0.456	0.451	0.122406639004149
ENSG00000107581	2.168	2.662	3.269	1.94190871369295
ENSG00000117500	0.772	0.614	1.166	0.574688796680498
ENSG00000125656	0.621	0.434	0.416	0.363070539419087
ENSG00000127837	0.681	0.465	0.414	0.429460580912863
ENSG00000040341	0.163	0.295	0.283	0.180497925311203
ENSG00000158747	2.061	1.386	0.282	1.3402489626556
ENSG00000197442	0.119	0.132	0.344	0.16597510373444
ENSG00000112144	0.38	0.17	0.166	0.228215767634855
ENSG00000099725	0.252	0.369	0.162	0.0871369294605809
ENSG00000119760	0.265	0.212	0.32	0.174273858921162
ENSG00000127526	0.358	0.334	0.429	0.153526970954357
ENSG00000103495	0.819	0.676	1.15	0.587136929460581
ENSG00000124659	0.186	0.159	0.149	0.184647302904564
ENSG00000213753	0.399	0.217	0.388	0.213692946058091
ENSG00000137880	0.559	0.169	0.341	0.020746887966805
ENSG00000130921	0.294	0.291	0.478	0.298755186721992
ENSG00000198721	0.836	0.909	0.306	0.510373443983402
ENSG00000100591	1.238	1.549	1.929	1.0850622406639
ENSG00000119986	0.282	0.06	0.617	0.170124481327801
ENSG00000163964	0.287	0.183	0.241	0.203319502074689
ENSG00000184787	0.95	0.911	0.803	0.678423236514523
ENSG00000204227	0.405	0.265	0.334	0.246887966804979
ENSG00000173726	2.724	1.883	2.37	2.17219917012448
ENSG00000005175	0.193	0.147	0.243	0.130705394190871
ENSG00000085449	0.334	0.387	0.366	0.16804979253112
ENSG00000113194	0.502	0.381	0.379	0.215767634854772
ENSG00000113810	0.168	0.329	0.649	0.304979253112033
ENSG00000101361	0.981	0.944	0.937	0.91701244813278
ENSG00000105176	0.739	0.481	0.528	0.628630705394191
ENSG00000005059	0.468	0.37	0.724	0.0746887966804979
