erythrocyte	classical_monocyte	neutrophil	memory_B_cell	plasma_cell	platelet
ENSG00000124570	0.045	1.52	0.178534571723426	0.489539748953975	0.187234042553191	1.27
ENSG00000089289	0.029	1.084	0.159958720330237	0.803347280334728	2.36595744680851	0.33
ENSG00000111912	0.045	0.38	0.25593395252838	0.949790794979079	0.88936170212766	0.68
ENSG00000106560	0.003	0.521	0.0165118679050568	0.100418410041841	0.127659574468085	0.02
ENSG00000131013	0.006	0.293	0.0515995872033024	0.376569037656904	0.608510638297872	0.05
ENSG00000125505	0.032	0.781	0.756449948400413	0.142259414225941	0.502127659574468	0.06
ENSG00000158122	0.004	0.307	0.0123839009287926	0.255230125523013	0.668085106382979	0.13
ENSG00000152944	0.018	0.181	0.0835913312693498	0.242677824267782	0.446808510638298	0.09
ENSG00000130755	0.238	5.875	4.91744066047472	2.2510460251046	11.7446808510638	2.5
ENSG00000124795	0.052	3.807	0.577915376676987	2.33054393305439	0.659574468085106	1.09
ENSG00000138801	0.011	0.464	0.154798761609907	0.284518828451883	1.7063829787234	0.22
ENSG00000126524	0.037	0.62	0.159958720330237	1.26359832635983	2.58723404255319	0.45
ENSG00000113328	0.033	0.355	0.0629514963880289	0.464435146443515	1.51489361702128	2.68
ENSG00000010404	0.018	0.267	0.108359133126935	0.393305439330544	0.582978723404255	0.09
ENSG00000119844	0.036	0.779	0.239422084623323	0.861924686192469	2.65957446808511	0.48
ENSG00000196465	0.004	0.137	0.0288957688338493	0.209205020920502	1.35744680851064	0.23
ENSG00000186716	0.007	0.137	0.0557275541795666	0.100418410041841	0.302127659574468	0.27
ENSG00000162191	0.189	1.957	0.21671826625387	2.17154811715481	4.14893617021277	0.46
ENSG00000086758	0.117	0.714	0.0970072239422085	0.732217573221757	3.22127659574468	0.21
ENSG00000168610	0.056	1.543	0.809081527347781	1.01673640167364	3.11914893617021	0.92
ENSG00000102401	0.012	0.399	0.0794633642930857	0.338912133891213	2.71063829787234	0.88
ENSG00000156650	0.029	0.546	0.180598555211558	0.820083682008368	2.60425531914894	0.05
ENSG00000119801	0.2	2.122	1.13312693498452	1.73221757322176	1.69787234042553	1.2
ENSG00000198721	0.011	0.185	0.00619195046439629	0.213389121338912	1.37021276595745	0.16
ENSG00000170017	0.007	1.155	0.174406604747162	0.276150627615063	0.919148936170213	0.13
ENSG00000136068	0.002	0.139	0.0536635706914345	0.271966527196653	0.182978723404255	0.04
ENSG00000138433	0.061	1.043	0.554179566563467	1.04602510460251	2.27234042553191	0.34
ENSG00000277072	0.002	0.146	0.0371517027863777	0.267782426778243	0.387234042553191	0.03
ENSG00000006125	0.233	0.586	0.1671826625387	0.564853556485356	1.53191489361702	1.2
ENSG00000068028	0.027	0.262	0.0825593395252838	0.527196652719665	0.94468085106383	0.3
ENSG00000111348	0.287	8.135	3.63570691434469	5.69874476987448	18.2255319148936	10.34
ENSG00000118579	0.093	0.791	0.159958720330237	0.476987447698745	1.1531914893617	0.22
ENSG00000198840	2.415	43.231	8.1155830753354	54.6903765690377	142.357446808511	12.09
ENSG00000162623	0.005	0.294	0.0134158926728586	0.188284518828452	1.67659574468085	0.1
