Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture20,platelet,0.999553376702053,0.9995076303668826,True
Blood,Mixture21,erythrocyte,0.9995130177580721,0.8008507808602825,True
Blood,Mixture21,classical_monocyte,0.9992154863983849,0.9660157970363624,True
Blood,Mixture21,neutrophil,0.9994943896497326,0.839904824664121,True
Blood,Mixture21,memory_B_cell,0.9993903284150081,0.9983211895958971,True
Blood,Mixture21,plasma_cell,0.9994872068339764,0.998237850603399,True
Blood,Mixture21,platelet,0.999553376702053,0.9986675816615807,True
Blood,Mixture22,erythrocyte,0.9995130177580721,0.8037634174989479,True
Blood,Mixture22,classical_monocyte,0.9992154863983849,0.9655371296614987,True
Blood,Mixture22,neutrophil,0.9994943896497326,0.9497533375165548,True
Blood,Mixture22,memory_B_cell,0.9993903284150081,0.9827108679845281,True
Blood,Mixture22,plasma_cell,0.9994872068339764,0.9994244439834065,True
Blood,Mixture22,platelet,0.999553376702053,0.9980471059460326,True
Blood,Mixture23,erythrocyte,0.9995130177580721,0.7724118491791838,False
Blood,Mixture23,classical_monocyte,0.9992154863983849,0.9580794650675108,True
Blood,Mixture23,neutrophil,0.9994943896497326,0.8650855886649197,True
Blood,Mixture23,memory_B_cell,0.9993903284150081,0.9987931479800628,True
Blood,Mixture23,plasma_cell,0.9994872068339764,0.9987627135625615,True
Blood,Mixture23,platelet,0.999553376702053,0.9994957511998975,True
Blood,Mixture24,erythrocyte,0.9995130177580721,0.7530665147860716,False
Blood,Mixture24,classical_monocyte,0.9992154863983849,0.9810963317928703,True
Blood,Mixture24,neutrophil,0.9994943896497326,0.9590718863749308,True
Blood,Mixture24,memory_B_cell,0.9993903284150081,0.9884821701668532,True
Blood,Mixture24,plasma_cell,0.9994872068339764,0.9994872068339764,True
Blood,Mixture24,platelet,0.999553376702053,0.9953693952463327,True
Blood,Mixture25,erythrocyte,0.9995130177580721,0.9995125962605488,True
Blood,Mixture25,classical_monocyte,0.9992154863983849,0.9731210304681742,True
Blood,Mixture25,neutrophil,0.9994943896497326,0.858354964438299,True
Blood,Mixture25,memory_B_cell,0.9993903284150081,0.9827628341485006,True
Blood,Mixture25,plasma_cell,0.9994872068339764,0.9993742873464125,True
Blood,Mixture25,platelet,0.999553376702053,0.9931280283989354,True
Blood,Mixture26,erythrocyte,0.9995130177580721,0.76627002445895,False
Blood,Mixture26,classical_monocyte,0.9992154863983849,0.9640516319516825,True
Blood,Mixture26,neutrophil,0.9994943896497326,0.7891475546122964,False
Blood,Mixture26,memory_B_cell,0.9993903284150081,0.9986679642469242,True
Blood,Mixture26,plasma_cell,0.9994872068339764,0.9974599435754522,True
Blood,Mixture26,platelet,0.999553376702053,0.9982740591327651,True
Blood,Mixture27,erythrocyte,0.9995130177580721,0.7502139009311535,False
Blood,Mixture27,classical_monocyte,0.9992154863983849,0.9642140382994625,True
Blood,Mixture27,neutrophil,0.9994943896497326,0.8642001117213313,True
Blood,Mixture27,memory_B_cell,0.9993903284150081,0.9988473291244332,True
Blood,Mixture27,plasma_cell,0.9994872068339764,0.9990343410642043,True
Blood,Mixture27,platelet,0.999553376702053,0.9995322529680842,True
Blood,Mixture28,erythrocyte,0.9995130177580721,0.804759488761624,True
Blood,Mixture28,classical_monocyte,0.9992154863983849,0.9779315559780449,True
Blood,Mixture28,neutrophil,0.9994943896497326,0.9720598617114781,True
Blood,Mixture28,memory_B_cell,0.9993903284150081,0.9864035605778437,True
Blood,Mixture28,plasma_cell,0.9994872068339764,0.9994872068339764,True
Blood,Mixture28,platelet,0.999553376702053,0.9959036383185226,True
Blood,Mixture29,erythrocyte,0.9995130177580721,0.9995140523429026,True
Blood,Mixture29,classical_monocyte,0.9992154863983849,0.9800754009628578,True
Blood,Mixture29,neutrophil,0.9994943896497326,0.8281326017482042,True
Blood,Mixture29,memory_B_cell,0.9993903284150081,0.9518642406682702,True
Blood,Mixture29,plasma_cell,0.9994872068339764,0.9975525170592627,True
Blood,Mixture29,platelet,0.999553376702053,0.9896475322540779,True
Blood,Mixture30,erythrocyte,0.9995130177580721,0.7703947020846003,False
Blood,Mixture30,classical_monocyte,0.9992154863983849,0.9667098584225883,True
Blood,Mixture30,neutrophil,0.9994943896497326,0.9264778754957241,True
Blood,Mixture30,memory_B_cell,0.9993903284150081,0.9668983996696741,True
Blood,Mixture30,plasma_cell,0.9994872068339764,0.9992900287942738,True
Blood,Mixture30,platelet,0.999553376702053,0.9995148353423685,True
Blood,Mixture31,erythrocyte,0.9995130177580721,0.7252825976133129,False
Blood,Mixture31,classical_monocyte,0.9992154863983849,0.8968538438034124,True
Blood,Mixture31,neutrophil,0.9994943896497326,0.9893182269557494,True
Blood,Mixture31,memory_B_cell,0.9993903284150081,0.9983632047935502,True
Blood,Mixture31,plasma_cell,0.9994872068339764,0.9987593416878057,True
Blood,Mixture31,platelet,0.999553376702053,0.9985849230581273,True
Blood,Mixture32,erythrocyte,0.9995130177580721,0.7553291120844299,False
Blood,Mixture32,classical_monocyte,0.9992154863983849,0.9621998662225535,True
Blood,Mixture32,neutrophil,0.9994943896497326,0.8819733836915938,True
Blood,Mixture32,memory_B_cell,0.9993903284150081,0.9992923118893366,True
Blood,Mixture32,plasma_cell,0.9994872068339764,0.999032961660895,True
Blood,Mixture32,platelet,0.999553376702053,0.9995093556057869,True
Blood,Mixture33,erythrocyte,0.9995130177580721,0.816233432069184,True
Blood,Mixture33,classical_monocyte,0.9992154863983849,0.9708887884224722,True
Blood,Mixture33,neutrophil,0.9994943896497326,0.9567911622507385,True
Blood,Mixture33,memory_B_cell,0.9993903284150081,0.9849641874462676,True
Blood,Mixture33,plasma_cell,0.9994872068339764,0.9993801114937182,True
Blood,Mixture33,platelet,0.999553376702053,0.9970911790075921,True
Blood,Mixture34,erythrocyte,0.9995130177580721,0.7673791974603147,False
Blood,Mixture34,classical_monocyte,0.9992154863983849,0.9669953588044804,True
Blood,Mixture34,neutrophil,0.9994943896497326,0.8422280605333469,True
Blood,Mixture34,memory_B_cell,0.9993903284150081,0.998441238765142,True
Blood,Mixture34,plasma_cell,0.9994872068339764,0.9987443981519556,True
Blood,Mixture34,platelet,0.999553376702053,0.9995210431558388,True
Blood,Mixture35,erythrocyte,0.9995130177580721,0.797707375193728,False
Blood,Mixture35,classical_monocyte,0.9992154863983849,0.9590659195411867,True
Blood,Mixture35,neutrophil,0.9994943896497326,0.8825720247133584,True
Blood,Mixture35,memory_B_cell,0.9993903284150081,0.9988189357524541,True
Blood,Mixture35,plasma_cell,0.9994872068339764,0.9990691326810037,True
