Tissue,Mixture,CellType,PerturbedVsTrueSpearman,RecoveredVsTrueSpearman,Pass_0_8
Blood,Mixture7,neutrophil,0.9994943896497326,0.8824413936896666,True
Blood,Mixture7,memory_B_cell,0.9993903284150081,0.9727284020485648,True
Blood,Mixture7,plasma_cell,0.9994872068339764,0.9987925240007443,True
Blood,Mixture7,platelet,0.999553376702053,0.998229846603265,True
Blood,Mixture8,erythrocyte,0.9995130177580721,0.7477471815102585,False
Blood,Mixture8,classical_monocyte,0.9992154863983849,0.9498235548387851,True
Blood,Mixture8,neutrophil,0.9994943896497326,0.7907028984707845,False
Blood,Mixture8,memory_B_cell,0.9993903284150081,0.9967983878905449,True
Blood,Mixture8,plasma_cell,0.9994872068339764,0.9972522658841488,True
Blood,Mixture8,platelet,0.999553376702053,0.9961960530294476,True
Blood,Mixture9,erythrocyte,0.9995130177580721,0.660247945161658,False
Blood,Mixture9,classical_monocyte,0.9992154863983849,0.9646293813561551,True
Blood,Mixture9,neutrophil,0.9994943896497326,0.8509975706547845,True
Blood,Mixture9,memory_B_cell,0.9993903284150081,0.9987208425915007,True
Blood,Mixture9,plasma_cell,0.9994872068339764,0.9975335119470021,True
Blood,Mixture9,platelet,0.999553376702053,0.9941891249792956,True
Blood,Mixture10,erythrocyte,0.9995130177580721,0.6190844448444146,False
Blood,Mixture10,classical_monocyte,0.9992154863983849,0.9020705081344019,True
Blood,Mixture10,neutrophil,0.9994943896497326,0.9992388160620315,True
Blood,Mixture10,memory_B_cell,0.9993903284150081,0.9903964973656375,True
Blood,Mixture10,plasma_cell,0.9994872068339764,0.9982610513673081,True
Blood,Mixture10,platelet,0.999553376702053,0.9993487188522859,True
Blood,Mixture11,erythrocyte,0.9995130177580721,0.7169038468151635,False
Blood,Mixture11,classical_monocyte,0.9992154863983849,0.9612029677555515,True
Blood,Mixture11,neutrophil,0.9994943896497326,0.8120246005797788,True
Blood,Mixture11,memory_B_cell,0.9993903284150081,0.9934443267082876,True
Blood,Mixture11,plasma_cell,0.9994872068339764,0.9991103231964876,True
Blood,Mixture11,platelet,0.999553376702053,0.999529590217954,True
Blood,Mixture12,erythrocyte,0.9995130177580721,0.746884722835788,False
