Tissue,Mixture,CellType,Spearman
Blood,Mixture81,erythrocyte,0.7115458206062674
Blood,Mixture81,classical_monocyte,0.9505991259403493
Blood,Mixture81,neutrophil,0.9267631795733288
Blood,Mixture81,memory_B_cell,0.9751712936720917
Blood,Mixture81,plasma_cell,0.9996403589180597
Blood,Mixture81,platelet,0.9959301235635526
Blood,Mixture82,erythrocyte,0.7304313142560184
Blood,Mixture82,classical_monocyte,0.9642049104822936
Blood,Mixture82,neutrophil,0.8345348294896271
Blood,Mixture82,memory_B_cell,0.9802960068081052
Blood,Mixture82,plasma_cell,0.9992082608314432
Blood,Mixture82,platelet,0.9999223863164048
Blood,Mixture83,erythrocyte,1.0
Blood,Mixture83,classical_monocyte,0.9450002719992224
Blood,Mixture83,neutrophil,0.7868677241462594
Blood,Mixture83,memory_B_cell,0.9756899085881933
Blood,Mixture83,plasma_cell,0.9983778983560447
Blood,Mixture83,platelet,0.9917389197827682
Blood,Mixture84,erythrocyte,0.7820242662314731
Blood,Mixture84,classical_monocyte,0.9521706933571213
Blood,Mixture84,neutrophil,0.8778320640193555
Blood,Mixture84,memory_B_cell,0.944142555781333
Blood,Mixture84,plasma_cell,0.9991795232625008
Blood,Mixture84,platelet,0.9942699485591935
Blood,Mixture85,erythrocyte,0.8146876389917004
Blood,Mixture85,classical_monocyte,0.951151661569973
Blood,Mixture85,neutrophil,0.9402999848211397
Blood,Mixture85,memory_B_cell,0.9534533062305687
Blood,Mixture85,plasma_cell,0.9997816328069801
Blood,Mixture85,platelet,1.0
Blood,Mixture86,erythrocyte,0.8249112716515627
Blood,Mixture86,classical_monocyte,0.9734056467032959
Blood,Mixture86,neutrophil,0.9293628302883774
Blood,Mixture86,memory_B_cell,0.9870927581869219
Blood,Mixture86,plasma_cell,1.0
Blood,Mixture86,platelet,0.997095233948169
Blood,Mixture87,erythrocyte,0.7414635282191401
Blood,Mixture87,classical_monocyte,0.964168633294776
Blood,Mixture87,neutrophil,0.861050958105275
Blood,Mixture87,memory_B_cell,0.9729601956685057
Blood,Mixture87,plasma_cell,0.9995578246200576
Blood,Mixture87,platelet,0.9999250875091102
Blood,Mixture88,erythrocyte,0.7667759079663542
Blood,Mixture88,classical_monocyte,0.9770998082193223
Blood,Mixture88,neutrophil,0.9333460354537498
Blood,Mixture88,memory_B_cell,0.9876424900623558
Blood,Mixture88,plasma_cell,0.9999946739847394
Blood,Mixture88,platelet,0.9976088839030205
Blood,Mixture89,erythrocyte,0.6852178999113925
Blood,Mixture89,classical_monocyte,0.9920785096093321
Blood,Mixture89,neutrophil,0.8366871226284505
Blood,Mixture89,memory_B_cell,0.9225358376345507
Blood,Mixture89,plasma_cell,0.9972195443737472
Blood,Mixture89,platelet,0.9911980668712174
Blood,Mixture90,erythrocyte,0.7182935877727759
Blood,Mixture90,classical_monocyte,0.9681426099582172
Blood,Mixture90,neutrophil,0.8184480221066347
Blood,Mixture90,memory_B_cell,0.9872227215488679
Blood,Mixture90,plasma_cell,0.9987493793305724
Blood,Mixture90,platelet,0.9999227499991
Blood,Mixture91,erythrocyte,0.6777886370057823
Blood,Mixture91,classical_monocyte,0.9386395390350053
Blood,Mixture91,neutrophil,0.8748908057796194
Blood,Mixture91,memory_B_cell,0.9992564465773631
Blood,Mixture91,plasma_cell,0.9976485005395301
Blood,Mixture91,platelet,0.9958534581141878
Blood,Mixture92,erythrocyte,0.7175402113739233
