Tissue,Mixture,L1_Error,Accuracy,Iterations,Pred_erythrocyte,Pred_classical_monocyte,Pred_neutrophil,Pred_memory_B_cell,Pred_plasma_cell,Pred_platelet,Truth_erythrocyte,Truth_classical_monocyte,Truth_neutrophil,Truth_memory_B_cell,Truth_plasma_cell,Truth_platelet
Blood,Mixture33,0.1327114510039952,0.9336442744980024,15,0.2049742598089108,0.4306971263318266,0.1877142344855605,0.1109800702249024,0.0404444923974522,0.0251898167513471,0.1979454189402348,0.3911320581880997,0.2261302085971568,0.0912182537353078,0.0497952705961253,0.0437787899430753
Blood,Mixture34,0.1105963809925835,0.9447018095037084,16,0.1952812614905649,0.258339220815883,0.4188823955970622,0.0818486296767578,0.045648492419732,0.0,0.1859658050303341,0.2123564867798221,0.4413198458196202,0.0888083225272747,0.0715495398429488,0.0
Blood,Mixture35,0.2019158984434393,0.8990420507782804,16,0.1495419546866283,0.3574356220059019,0.3349974967494638,0.0980047618999478,0.051730674708686,0.008289489949372,0.1429032521299499,0.2984715187996629,0.4064143651288528,0.0626496184411457,0.0523362653718006,0.037224980128588
Blood,Mixture36,0.1578023522572106,0.9210988238713947,24,0.1793875148865334,0.3195048900072456,0.4002417270657508,0.017563566470506,0.0601385988069749,0.0231637027629892,0.1681994649176559,0.2693553303180239,0.4296044254291968,0.0,0.0724997746036339,0.0603410047314894
Blood,Mixture37,0.1642234367490903,0.9178882816254548,25,0.2646612356584233,0.3523974149711982,0.203423430291808,0.0530436117122029,0.0850172332597584,0.041457074106609,0.2348518392427931,0.3000950930122832,0.2179065087257281,0.0767950668374392,0.0976864378122329,0.0726650543695232
Blood,Mixture38,0.1859258357751374,0.9070370821124312,20,0.1743256010470938,0.4367384200329612,0.2084093004498699,0.1375529158576114,0.0,0.0429737626124637,0.1652391797811637,0.3528619234113224,0.2553730285507866,0.1744709010601627,0.0,0.0520549671965643
Blood,Mixture39,0.2856654622045541,0.857167268897723,18,0.3270896205358202,0.4334570945894718,0.1152260249042749,0.095641170775843,0.0,0.02858608919459,0.28256485905998,0.335149124963035,0.251450150922935,0.0967123153118389,0.0,0.0341235497422112
Blood,Mixture40,0.1742341542766949,0.9128829228616524,14,0.1219428382254093,0.4679978871553186,0.219652885600015,0.1447847375603621,0.0408007350607644,0.0048209163981303,0.1329231303032141,0.4040422753253282,0.2717362506963932,0.121623272252005,0.0435583749765041,0.0261166964465553
Blood,Mixture41,0.1984811060462258,0.9007594469768871,16,0.2061948096318208,0.2985416525756652,0.2947371037022816,0.1338541465935119,0.0539617911692063,0.0127104963275141,0.182591759815664,0.263402223715009,0.354230727563557,0.093356072247212,0.0616088626801394,0.0448103539784185
Blood,Mixture42,0.1325972196266701,0.933701390186665,20,0.2333660247234227,0.2182288812219358,0.3924991673321299,0.0908924533619747,7.317103537047447e-07,0.0650127416501829,0.2204236939724339,0.1757096055067359,0.4278378062784498,0.1218524242289899,0.0,0.0541764700133903
Blood,Mixture43,0.3070695587575885,0.8464652206212058,13,0.1941652247248034,0.2263220836670368,0.3258783279773568,0.1902827041224294,0.0460464819601211,0.0173051775482522,0.1792217483157938,0.1861094146156078,0.4340803754443576,0.0919040702040739,0.0473379522637502,0.0613464391564165
Blood,Mixture44,0.237280757216275,0.8813596213918625,31,0.3480947737323278,0.3088685960157872,0.2164928606996207,0.0998137409241681,0.003919242244262,0.0228107863838337,0.3043861982490617,0.2378560351351778,0.2875362897547088,0.1340188840422689,0.0,0.0362025928187824
